license_type,APPLICATION_CLASSIFICATION,APPROVED_LICENSE_TYPE,Approved_License_Stages,commence_operations_date,application_status,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,ORIGINAL_SUBMITTED_DATE,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,APPLICATION_DENIED_DATE,CCCUpdateDate,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_COUNTY,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ID
Marijuana Product Manufacturer,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MP282046,Debilitating Medical Condition Treatment Centers,Agawam,MA,1001,42.081118,-72.588386,11-13 Hampden St,,Springfield,MA,1103,POINT (-72.571312 42.12756),POINT (-72.588386 42.0811179),11-13 Hampden St,,Springfield,MA,1103,46-3448063,MPN282046,Fri Mar 26 2021 13:39:12 GMT-0400 (Eastern Daylight Time),Wed Apr 21 2021 11:29:31 GMT-0400 (Eastern Daylight Time),Tue Mar 30 2021 09:11:26 GMT-0400 (Eastern Daylight Time),,TRUE,no,,,,,,APPROVED,RP201977,RP201977,Not a DBE,,,,,,,,,,,,,,,Tue Mar 02 2021 14:06:33 GMT-0500 (Eastern Standard Time),Fri Apr 30 2021 09:45:16 GMT-0400 (Eastern Daylight Time),Tue Jun 22 2021 10:54:53 GMT-0400 (Eastern Daylight Time),Mon Nov 21 2022 03:00:00 GMT-0500 (Eastern Standard Time),Tue Nov 21 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,582 Meadow Street Ext,N/A,Hampden County,1500,10000,1001,Agawam,Hampden,42.12756,-72.571312,Western MA,1
Marijuana Retailer,Priority Review - MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MR282715,MassMedicum Corp.,Amherst,MA,1002,42.37059,-72.533569,1 Mear Road,,Holbrook,MA,2343,POINT (-72.62073 42.322256),POINT (-72.533569 42.37059),1 Mear Road,,Holbrook,MA,2343,46-3326624,MRN282715,Thu Nov 07 2019 13:01:15 GMT-0500 (Eastern Standard Time),Tue Jan 21 2020 16:16:33 GMT-0500 (Eastern Standard Time),Tue Dec 03 2019 00:00:00 GMT-0500 (Eastern Standard Time),,TRUE,,,,,,,APPROVED,RP201935,RP201935,Not a DBE,,,,,,,,,,,,,,,Thu May 16 2019 14:39:35 GMT-0400 (Eastern Daylight Time),Wed Jan 15 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 09 2020 15:24:29 GMT-0400 (Eastern Daylight Time),Thu Aug 12 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Aug 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,85 University Dr,N/A,Hampshire County,1500,10000,1002,Amherst,Hampshire,42.322256,-72.62073,Western MA,2
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,2/22/22,APPROVED,COMPLETE,MR282036,"Pleasantrees, Inc.",Amherst,MA,1002,42.373332,-72.533478,422 Amity Street,,Amherst,MA,1002,POINT (-72.62073 42.322256),POINT (-72.533478 42.3733319),195 Northampton Street,,Easthampton,MA,1027,81-4397799,MRN282036,Wed Dec 12 2018 10:16:49 GMT-0500 (Eastern Standard Time),Mon Apr 26 2021 16:49:59 GMT-0400 (Eastern Daylight Time),Mon Jan 14 2019 00:00:00 GMT-0500 (Eastern Standard Time),Mon Jul 26 2021 07:27:11 GMT-0400 (Eastern Daylight Time),TRUE,no,,,,,,APPROVED,RP201924,RP201924,Not a DBE,,,,,,,,,,,,,,Thu Jan 20 2022 03:00:00 GMT-0500 (Eastern Standard Time),Fri Nov 09 2018 11:05:07 GMT-0500 (Eastern Standard Time),Mon May 03 2021 09:54:34 GMT-0400 (Eastern Daylight Time),Thu Jul 15 2021 16:39:50 GMT-0400 (Eastern Daylight Time),Thu Jul 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jul 26 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,422 Amity St,N/A,Hampshire County,300,10000,1002,Amherst,Hampshire,42.322256,-72.62073,Western MA,2
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,9/21/20,APPROVED,COMPLETE,MR282062,"Mass Alternative Care, Inc.",Amherst,MA,1002,42.371993,-72.533529,55 University Drive,,Amherst,MA,1002,POINT (-72.62073 42.322256),POINT (-72.533529 42.3719930),1247 East Main Street,,Chicopee,MA,1020,46-2915012,MRN282062,Mon May 06 2019 15:26:38 GMT-0400 (Eastern Daylight Time),Thu Sep 19 2019 23:36:03 GMT-0400 (Eastern Daylight Time),Mon Jun 03 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Jan 20 2020 08:37:06 GMT-0500 (Eastern Standard Time),TRUE,,,,,,,APPROVED,RP201836,RPA201836,Not a DBE,,,,,,,,,,,,,,Thu Aug 06 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Nov 19 2018 10:52:22 GMT-0500 (Eastern Standard Time),Thu Oct 03 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 09 2020 11:28:34 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 21 2024 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,55 University Dr,N/A,Hampshire County,300,10000,1002,Amherst,Hampshire,42.322256,-72.62073,Western MA,2
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,8/16/21,APPROVED,COMPLETE,MR282975,RC Retail Amherst LLC,Amherst,MA,1002,42.373308,-72.5031,328 College Street,,Amherst,MA,1002,POINT (-72.62073 42.322256),POINT (-72.503100 42.3733080),200 Pratt Street,,Meriden,CT,6450,84-2935348,MRN282975,Thu Nov 14 2019 11:36:13 GMT-0500 (Eastern Standard Time),Wed Jul 29 2020 16:05:30 GMT-0400 (Eastern Daylight Time),Fri Feb 28 2020 00:00:00 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,Thu Jul 15 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Sep 04 2019 16:04:19 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 08:13:35 GMT-0400 (Eastern Daylight Time),Thu Nov 19 2020 16:22:34 GMT-0500 (Eastern Standard Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Dec 03 2023 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,328 College St,N/A,Hampshire County,1500,10000,1002,Amherst,Hampshire,42.322256,-72.62073,Western MA,2
Marijuana Retailer,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,5/8/19,APPROVED,SURRENDERED,MR281254,"Rise Holdings, Inc.",Amherst,,1002,,,325 W. Huron St.,Suite 412,Chicago,IL,60654,POINT (-72.62073 42.322256),,325 W. Huron St.,Suite 412,CHICAGO,IL,60654,81-3787505,MRN281254,Tue Dec 04 2018 14:05:02 GMT-0500 (Eastern Standard Time),Mon Feb 11 2019 17:31:38 GMT-0500 (Eastern Standard Time),Wed Dec 12 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 07 2019 17:44:31 GMT-0500 (Eastern Standard Time),TRUE,,,,,,,APPROVED,RP201870,RP201870,Not a DBE,,,,,,,,,,,,,,Thu Apr 25 2019 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Apr 17 2018 13:57:13 GMT-0400 (Eastern Daylight Time),Wed Feb 13 2019 00:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 07 2019 16:09:20 GMT-0500 (Eastern Standard Time),Thu Feb 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Tue Mar 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),,,,,,300,5000,1002,Amherst,Hampshire,42.322256,-72.62073,Western MA,2
Marijuana Cultivator,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,12/9/19,APPROVED,COMPLETE,MC281254,Caregiver-Patient Connection,Barre,MA,1005,42.383666,-72.08678,295 Vernon Ave,,Barre,MA,1005,POINT (-71.840209 42.329642),POINT (-72.086780 42.3836659),287 Chapman Rd,,Barre,MA,1005,82-2905670,MCN281254,Fri Jul 13 2018 16:46:58 GMT-0400 (Eastern Daylight Time),Wed Aug 29 2018 18:18:06 GMT-0400 (Eastern Daylight Time),Wed Jul 25 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Jan 07 2019 16:45:22 GMT-0500 (Eastern Standard Time),TRUE,,,,,,,APPROVED,RP201819,RPA201819,Woman-Owned Business,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,Thu Jun 27 2019 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Apr 17 2018 12:27:06 GMT-0400 (Eastern Daylight Time),Thu Aug 30 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Dec 14 2018 11:59:38 GMT-0500 (Eastern Standard Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sun Jan 07 2024 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,295 Vernon Ave,N/A,Worcester County,400,8965.75,1005,Barre,Worcester,42.329642,-71.840209,Central MA,5
Marijuana Cultivator,Expedited Review - License Type,COMMENCE OPS,COMMENCE OPS,1/19/23,APPROVED,COMPLETE,MC282412,High Hawk Farm LLC,Barre,MA,1005,42.391728,-72.157066,140 Worcester Road,,Barre,MA,1005,POINT (-71.840209 42.329642),POINT (-72.157066 42.3917280),140 Worcester Road,,Barre,MA,1005,84-3294551,MCN282412,Fri Dec 13 2019 16:15:44 GMT-0500 (Eastern Standard Time),Thu Feb 13 2020 12:55:10 GMT-0500 (Eastern Standard Time),Tue Jan 14 2020 00:00:00 GMT-0500 (Eastern Standard Time),Sat May 09 2020 12:15:34 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Not a DBE,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,Thu Nov 19 2020 03:00:00 GMT-0500 (Eastern Standard Time),Mon Sep 23 2019 21:49:00 GMT-0400 (Eastern Daylight Time),Thu Mar 12 2020 00:00:00 GMT-0400 (Eastern Daylight Time),Fri May 08 2020 14:30:29 GMT-0400 (Eastern Daylight Time),Thu May 12 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat May 13 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,101 Daunt Rd,N/A,Worcester County,1500,25000,1005,Barre,Worcester,42.329642,-71.840209,Central MA,5
Marijuana Cultivator,Priority Review - MTC Priority,COMMENCE OPS,COMMENCE OPS,8/5/20,APPROVED,COMPLETE,MC282237,Caregiver-Patient Connection LLC,Barre,MA,1005,42.383666,-72.08678,295 Vernon Ave.,,Barre,MA,1005,POINT (-71.840209 42.329642),POINT (-72.086780 42.3836659),"910 Boston Post Rd., #310",,Marlboro,MA,1752,83-3954417,MCN282237,Tue Aug 20 2019 11:26:21 GMT-0400 (Eastern Daylight Time),Mon Dec 09 2019 13:37:03 GMT-0500 (Eastern Standard Time),Thu Aug 22 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Jan 13 2020 11:54:55 GMT-0500 (Eastern Standard Time),TRUE,,,,,,,APPROVED,RP201819,RPA201819,Woman-Owned Business,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,Thu May 07 2020 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Jun 25 2019 15:43:13 GMT-0400 (Eastern Daylight Time),Tue Oct 08 2019 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Jan 09 2020 11:17:24 GMT-0500 (Eastern Standard Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jan 22 2024 03:00:00 GMT-0500 (Eastern Standard Time),,2/21/23,295 Vernon Ave,N/A,Worcester County,400,2500,1005,Barre,Worcester,42.329642,-71.840209,Central MA,5
Marijuana Cultivator,Expedited Review - License Type,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,APPROVED,COMPLETE,MC282454,CastleRock Agricultural Enterprises Incorporated,Barre,MA,1005,42.417864,-72.08411,257 WALNUT HILL RD,,BARRE,MA,1005,POINT (-71.840209 42.329642),POINT (-72.084109 42.4178640),257 WALNUT HILL RD,,BARRE,MA,1005,83-1710815,MCN282454,Sun May 03 2020 18:28:44 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 09:17:33 GMT-0400 (Eastern Daylight Time),Fri May 29 2020 12:01:49 GMT-0400 (Eastern Daylight Time),,,no,,,,,,,,,Not a DBE,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,,Fri Oct 18 2019 15:42:17 GMT-0400 (Eastern Daylight Time),Thu Aug 13 2020 14:02:28 GMT-0400 (Eastern Daylight Time),Thu Oct 08 2020 12:36:11 GMT-0400 (Eastern Daylight Time),Thu Apr 07 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Apr 08 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,2/21/23,257 Walnut Hill Rd,N/A,Worcester County,1500,25000,1005,Barre,Worcester,42.329642,-71.840209,Central MA,5
